RandomSeed,Accuracy,Precision,Recall,F1
0,0.9312204989885368,0.9342368411206549,0.9312204989885368,0.9321900918791756
1,0.9345920431557654,0.9348908409652689,0.9345920431557654,0.9339689304668815
2,0.9278489548213081,0.9312013888068397,0.9278489548213081,0.9282636718527041
3,0.9231287929871881,0.9221789553375712,0.9231287929871881,0.922339605493778
4,0.9386378961564397,0.9370200559281688,0.9386378961564397,0.9370825618565809
5,0.9413351314902225,0.9406447881030282,0.9413351314902225,0.9408898060577208
6,0.933243425488874,0.9318947121065262,0.933243425488874,0.9318755135887868
7,0.9238031018206339,0.9236682352797779,0.9238031018206339,0.9231717295157406
8,0.9413351314902225,0.9405459280793973,0.9413351314902225,0.9405386041036022
9,0.9224544841537424,0.9226200334195054,0.9224544841537424,0.9215020223928208
10,0.9244774106540796,0.9254643287175679,0.9244774106540796,0.9246353725654777
11,0.9271746459878625,0.9275682477772023,0.9271746459878625,0.9271682212989018
12,0.935266351989211,0.9349071714218103,0.935266351989211,0.9349304596406651
13,0.9399865138233311,0.939472163409623,0.9399865138233311,0.9390685344639521
14,0.9278489548213081,0.9278799683504257,0.9278489548213081,0.9278302548273775
15,0.9420094403236683,0.9418229711506636,0.9420094403236683,0.9414091055969955
16,0.9393122049898853,0.9392588320655538,0.9393122049898853,0.9392540208888384
17,0.9204315576534052,0.9213389345184035,0.9204315576534052,0.9206834463914816
18,0.9184086311530681,0.9191925312493532,0.9184086311530681,0.918588667316604
19,0.9271746459878625,0.926196186165655,0.9271746459878625,0.9257256540206616
20,0.9177343223196224,0.9172757172806698,0.9177343223196224,0.9174111982860906
21,0.9251517194875253,0.9252403305842282,0.9251517194875253,0.9251144180333368
22,0.9386378961564397,0.9387590703167493,0.9386378961564397,0.9386729713554629
23,0.930546190155091,0.930001165833482,0.930546190155091,0.9296268605818766
24,0.9291975724881996,0.9303832486969585,0.9291975724881996,0.9294636086306615
25,0.935266351989211,0.9340847912919403,0.935266351989211,0.9344226395577518
26,0.9177343223196224,0.9182825335080046,0.9177343223196224,0.9174570831344407
27,0.9339177343223196,0.9354750573139373,0.9339177343223196,0.934301475769218
28,0.9359406608226568,0.9370354116000308,0.9359406608226568,0.9358462253653876
29,0.9251517194875253,0.9244430711400997,0.9251517194875253,0.9240950000108854
30,0.933243425488874,0.9330791426118233,0.933243425488874,0.9329799608216316
31,0.9318948078219824,0.9299126937452342,0.9318948078219824,0.9302714543505728
32,0.9339177343223196,0.9339508302674645,0.9339177343223196,0.93383961813078
33,0.9359406608226568,0.9351953889326573,0.9359406608226568,0.9350044128795909
34,0.933243425488874,0.9347388143925196,0.933243425488874,0.9336548528585749
35,0.942683749157114,0.9437098084655525,0.942683749157114,0.9429754861727034
36,0.9345920431557654,0.9334426697182172,0.9345920431557654,0.932564385858248
37,0.9285232636547539,0.9289736693412682,0.9285232636547539,0.9285215684048878
38,0.9366149696561025,0.9368464036991235,0.9366149696561025,0.9366012888149308
39,0.9339177343223196,0.9323269441628149,0.9339177343223196,0.932573895185687
40,0.9379635873229939,0.9386625207168134,0.9379635873229939,0.9381066597508616
41,0.933243425488874,0.9325030191804666,0.933243425488874,0.9327209126093705
42,0.9244774106540796,0.9231747979701892,0.9244774106540796,0.9231281719067151
43,0.9379635873229939,0.9375378912996987,0.9379635873229939,0.9369053942811396
44,0.9460552933243426,0.9457887426943615,0.9460552933243426,0.9453066864523849
45,0.942683749157114,0.9425056799319056,0.942683749157114,0.9423225951849131
46,0.933243425488874,0.9330083048272304,0.933243425488874,0.9330902360027327
47,0.930546190155091,0.9329514551950701,0.930546190155091,0.9312279557166837
48,0.9359406608226568,0.9357720996490606,0.9359406608226568,0.9354645873993233
49,0.942683749157114,0.9416663908857439,0.942683749157114,0.9418449856801959
50,0.9318948078219824,0.9321774642402338,0.9318948078219824,0.9315827052730725
51,0.9440323668240054,0.9440722966876912,0.9440323668240054,0.9440435526398245
52,0.9312204989885368,0.931611158848323,0.9312204989885368,0.9312962084854163
53,0.9480782198246797,0.948521435142806,0.9480782198246797,0.9481691756997294
54,0.9372892784895482,0.9382281053179748,0.9372892784895482,0.9376673886073008
55,0.9406608226567768,0.9411526017785966,0.9406608226567768,0.9404993701645366
56,0.9150370869858395,0.9139578571412906,0.9150370869858395,0.9140313751432597
57,0.935266351989211,0.9361386388230886,0.935266351989211,0.9355461099953036
58,0.9339177343223196,0.9336494811239001,0.9339177343223196,0.9336951254075333
59,0.935266351989211,0.9353931115340242,0.935266351989211,0.9352391915455894
60,0.9278489548213081,0.9297565512108589,0.9278489548213081,0.9282537447805808
61,0.9251517194875253,0.924134153621131,0.9251517194875253,0.9241440070933985
62,0.9447066756574511,0.9443575107575519,0.9447066756574511,0.9438162766240006
63,0.9433580579905597,0.9432349589122314,0.9433580579905597,0.9431471556485366
64,0.9399865138233311,0.939774968804423,0.9399865138233311,0.939827541032584
65,0.9318948078219824,0.9329606501583549,0.9318948078219824,0.9322831113742317
66,0.9318948078219824,0.93108877714718,0.9318948078219824,0.9313181483608786
67,0.9291975724881996,0.9288501413716848,0.9291975724881996,0.9286257030895004
68,0.9244774106540796,0.9245730603668059,0.9244774106540796,0.9241972324550967
69,0.9318948078219824,0.9315988851495287,0.9318948078219824,0.9315625196470153
70,0.9197572488199596,0.9188596490749896,0.9197572488199596,0.918579876520018
71,0.9366149696561025,0.9360830341126684,0.9366149696561025,0.9361097073805452
72,0.9379635873229939,0.9391484637798632,0.9379635873229939,0.9383046732416372
73,0.9339177343223196,0.9337405372531095,0.9339177343223196,0.9335800368029451
74,0.9386378961564397,0.9387788539247467,0.9386378961564397,0.938522375986112
75,0.9285232636547539,0.9276085335785567,0.9285232636547539,0.9278796066401865
76,0.9372892784895482,0.9374125476624657,0.9372892784895482,0.9371857460314621
77,0.9291975724881996,0.928355653108302,0.9291975724881996,0.9284680526214388
78,0.9345920431557654,0.9346864009178746,0.9345920431557654,0.9346172888930657
79,0.9393122049898853,0.9391340935508808,0.9393122049898853,0.9391676459427738
80,0.9224544841537424,0.9233716260428542,0.9224544841537424,0.9226842462205365
81,0.9312204989885368,0.93032040525473,0.9312204989885368,0.9305921815934226
82,0.9318948078219824,0.9312556654973437,0.9318948078219824,0.9313770047205381
83,0.9366149696561025,0.9369647835243115,0.9366149696561025,0.9367745162282483
84,0.9494268374915711,0.9489675655436735,0.9494268374915711,0.9491310087036823
85,0.933243425488874,0.932694123922213,0.933243425488874,0.9324744222784249
86,0.9372892784895482,0.9380270617692061,0.9372892784895482,0.9374657556365804
87,0.9366149696561025,0.9362403536375214,0.9366149696561025,0.9362654796503036
88,0.9224544841537424,0.923193890170032,0.9224544841537424,0.9225812600683616
89,0.930546190155091,0.9289064131647862,0.930546190155091,0.929037283619335
90,0.933243425488874,0.9324784681661182,0.933243425488874,0.9315050462278075
91,0.9372892784895482,0.9380187261221494,0.9372892784895482,0.9374873759306013
92,0.9345920431557654,0.9344601131666129,0.9345920431557654,0.9345219419086719
93,0.9312204989885368,0.9304448277627301,0.9312204989885368,0.9306464666412655
94,0.930546190155091,0.9292630358663535,0.930546190155091,0.9286527603134946
95,0.9433580579905597,0.942266034312124,0.9433580579905597,0.9424642409261887
96,0.933243425488874,0.9323866691712118,0.933243425488874,0.9324803482268258
97,0.9224544841537424,0.9220332994650007,0.9224544841537424,0.9220754910803608
98,0.9345920431557654,0.9341662440431332,0.9345920431557654,0.934070543638929
99,0.930546190155091,0.930519464793078,0.930546190155091,0.9296435661493742
