"RandomSeed","Accuracy","Precision","Recall","F1"
0,0.679945982444294,0.802744928923677,0.679945982444294,0.723951951977922
1,0.675894665766374,0.805758367887349,0.675894665766374,0.720474879782714
2,0.694125590817016,0.813874350186389,0.694125590817016,0.735640930909338
3,0.691424713031735,0.818931830295309,0.691424713031735,0.7364056809564
4,0.670492910195814,0.79055154049468,0.670492910195814,0.713934916795789
5,0.671168129642134,0.807665352048101,0.671168129642134,0.714256701332544
6,0.675219446320054,0.802942688140767,0.675219446320054,0.720564929175315
7,0.660364618501013,0.785186602926564,0.660364618501013,0.704942913458802
8,0.63065496286293,0.819829047056791,0.63065496286293,0.690997286958819
9,0.546252532072924,0.824990563606456,0.546252532072924,0.588776389653472
10,0.692099932478055,0.820013528070554,0.692099932478055,0.736933379861471
11,0.673193787981094,0.808234506754405,0.673193787981094,0.719362628965734
12,0.686698176907495,0.82632023403021,0.686698176907495,0.737136054654002
13,0.673869007427414,0.80567891753557,0.673869007427414,0.720970599412245
14,0.690749493585415,0.816977044353572,0.690749493585415,0.734523997480339
15,0.684672518568535,0.825006546312141,0.684672518568535,0.734845724476146
16,0.673869007427414,0.788974819410503,0.673869007427414,0.713031267333766
17,0.683322079675895,0.821905659211599,0.683322079675895,0.732560971012147
18,0.649561107359892,0.793362540478808,0.649561107359892,0.700412542054232
19,0.662390276839973,0.798005458724544,0.662390276839973,0.708774083359289
20,0.691424713031735,0.816124975625558,0.691424713031735,0.736145502124593
21,0.662390276839973,0.801702717877448,0.662390276839973,0.710522763353556
22,0.689399054692775,0.806952429903913,0.689399054692775,0.73130615210134
23,0.683322079675895,0.804813383888786,0.683322079675895,0.727714735253274
24,0.675219446320054,0.803415939796662,0.675219446320054,0.720957015845676
25,0.677920324105334,0.809700191376298,0.677920324105334,0.724712552561753
26,0.662390276839973,0.816050512589971,0.662390276839973,0.716737810966293
27,0.669142471303174,0.808928339562499,0.669142471303174,0.717942207216174
28,0.665091154625253,0.792537514508476,0.665091154625253,0.708516565708443
29,0.686022957461175,0.814571994954345,0.686022957461175,0.732406576367285
30,0.690749493585415,0.815463951000419,0.690749493585415,0.735520244189282
31,0.664415935178933,0.797316025499343,0.664415935178933,0.711478738017424
32,0.671843349088454,0.812339380534796,0.671843349088454,0.719659916028895
33,0.660364618501013,0.812994559561327,0.660364618501013,0.712834872056418
34,0.701553004726536,0.825448895145027,0.701553004726536,0.744426085972664
35,0.665766374071573,0.799889025733101,0.665766374071573,0.712362639600828
36,0.659014179608373,0.78897072029735,0.659014179608373,0.703995929110865
37,0.659689399054693,0.808638908441457,0.659689399054693,0.71175987762654
38,0.675894665766374,0.801534155172056,0.675894665766374,0.720100945218788
39,0.667792032410533,0.802918524046896,0.667792032410533,0.715969072263683
40,0.676569885212694,0.815404280008485,0.676569885212694,0.725884591528888
41,0.690749493585415,0.817833271830787,0.690749493585415,0.736150368678478
42,0.665091154625253,0.812180661436627,0.665091154625253,0.715348471277479
43,0.668467251856854,0.790866351848808,0.668467251856854,0.710959374664748
44,0.670492910195814,0.804133484378819,0.670492910195814,0.719175844708598
45,0.687373396353815,0.818794514881463,0.687373396353815,0.733950125317992
46,0.679270762997974,0.804985846443198,0.679270762997974,0.724728429538611
47,0.667116812964213,0.817557674119283,0.667116812964213,0.717727812512792
48,0.678595543551654,0.830232391214884,0.678595543551654,0.733200784133568
49,0.693450371370695,0.821332437511564,0.693450371370695,0.739510888203953
50,0.665766374071573,0.809104638512539,0.665766374071573,0.715055442561393
51,0.658338960162053,0.798028536152832,0.658338960162053,0.708342189684523
52,0.671843349088454,0.806713801529446,0.671843349088454,0.719298915207688
53,0.699527346387576,0.822332458114528,0.699527346387576,0.743910681156608
54,0.665766374071573,0.806688741320154,0.665766374071573,0.714213972512939
55,0.668467251856854,0.794822854650418,0.668467251856854,0.713086299283726
56,0.667792032410533,0.810375199308946,0.667792032410533,0.715685490250372
57,0.670492910195814,0.811130346047867,0.670492910195814,0.718158766918928
58,0.670492910195814,0.811310905581442,0.670492910195814,0.72162805073845
59,0.642808912896691,0.806920633998862,0.642808912896691,0.694419787942655
60,0.692775151924375,0.806799436277293,0.692775151924375,0.732335657976429
61,0.673869007427414,0.805361716133531,0.673869007427414,0.720245353137598
62,0.690749493585415,0.807745254102745,0.690749493585415,0.732424487984589
63,0.661039837947333,0.81255750832452,0.661039837947333,0.71583918902865
64,0.697501688048616,0.819046706454609,0.697501688048616,0.740717089125597
65,0.673869007427414,0.800329659813905,0.673869007427414,0.718650318000641
66,0.703578663065496,0.818640709633105,0.703578663065496,0.744985121565608
67,0.645509790681972,0.803849730676062,0.645509790681972,0.697641280291424
68,0.650236326806212,0.797147167825473,0.650236326806212,0.700453031771429
69,0.633355840648211,0.810144499014505,0.633355840648211,0.688938504598103
70,0.675219446320054,0.819277449004436,0.675219446320054,0.726298882241732
71,0.656313301823093,0.806309144269784,0.656313301823093,0.709446268805499
72,0.661715057393653,0.798701896015697,0.661715057393653,0.70989478288989
73,0.670492910195814,0.795639984131979,0.670492910195814,0.714755391296602
74,0.688048615800135,0.814417788416542,0.688048615800135,0.731854079895982
75,0.678595543551654,0.804333006748288,0.678595543551654,0.723129758594411
76,0.651586765698852,0.795850244908956,0.651586765698852,0.701758555793476
77,0.667116812964213,0.786097753254195,0.667116812964213,0.708996785997704
78,0.679945982444294,0.813992521237153,0.679945982444294,0.726067381755461
79,0.688723835246455,0.816092370641929,0.688723835246455,0.732787514565299
80,0.659689399054693,0.80227287631577,0.659689399054693,0.711146322576789
81,0.690749493585415,0.809309754865595,0.690749493585415,0.733495039989783
82,0.661039837947333,0.805270194079698,0.661039837947333,0.711924092489905
83,0.671843349088454,0.802850686829876,0.671843349088454,0.717044548476313
84,0.671168129642134,0.801603803522509,0.671168129642134,0.717898694894203
85,0.672518568534774,0.803552357139536,0.672518568534774,0.717719766302745
86,0.692099932478055,0.816046205728585,0.692099932478055,0.735076142604199
87,0.675894665766374,0.808245265087128,0.675894665766374,0.722289951329194
88,0.660364618501013,0.796889863797713,0.660364618501013,0.709914337649939
89,0.667792032410533,0.801992232240332,0.667792032410533,0.714124760279336
90,0.680621201890614,0.802075016646006,0.680621201890614,0.723146552502339
91,0.696151249155976,0.827950178691234,0.696151249155976,0.743271301399381
92,0.673193787981094,0.807872234912643,0.673193787981094,0.719653869506656
